dhsyear,dhsclust,latnum,longnum,quarter,id,left,top,right,bottom
"2006","9",-0.615551,31.747806,"3","553",31.701846529,-0.510721607,31.901846529,-0.710721607
"2006","24",-0.847251,31.732653,"2","554",31.701846529,-0.710721607,31.901846529,-0.910721607
"2006","7",-0.250356,32.061031,"2","582",31.901846529,-0.110721607,32.101846529,-0.310721607
"2016","46",-0.322854885702,31.9867370089,"3","583",31.901846529,-0.310721607000001,32.101846529,-0.510721607
"2000","3108",-0.661523441496,32.0979192502,"1","584",31.901846529,-0.510721607,32.101846529,-0.710721607
"2000","2103",1.3870159057,33.7432597585,"4","853",33.701846529,1.489278393,33.901846529,1.289278393
"2006","175",1.322296,33.743344,"2","853",33.701846529,1.489278393,33.901846529,1.289278393
"2016","273",1.3637109962,33.8472090184,"4","853",33.701846529,1.489278393,33.901846529,1.289278393
"2016","274",1.43368182333,33.8957007744,"4","853",33.701846529,1.489278393,33.901846529,1.289278393
"2016","278",1.45198777207,33.7796622939,"4","853",33.701846529,1.489278393,33.901846529,1.289278393
"2000","3402",1.17872957103,33.8842686094,"1","854",33.701846529,1.289278393,33.901846529,1.089278393
"2000","3405",1.18216083755,33.7273053711,"1","854",33.701846529,1.289278393,33.901846529,1.089278393
"2006","176",1.106669,33.753222,"2","854",33.701846529,1.289278393,33.901846529,1.089278393
"2011","325",1.141066,33.879648,"3","854",33.701846529,1.289278393,33.901846529,1.089278393
"2011","364",1.277344,33.872068,"2","854",33.701846529,1.289278393,33.901846529,1.089278393
"2016","207",1.0991760944,33.8816835578,"2","854",33.701846529,1.289278393,33.901846529,1.089278393
"2016","211",1.18605171542,33.7831026647,"3","854",33.701846529,1.289278393,33.901846529,1.089278393
"2016","212",1.18642638439,33.8867246639,"3","854",33.701846529,1.289278393,33.901846529,1.089278393
"2016","214",1.27668504,33.7075400939,"3","854",33.701846529,1.289278393,33.901846529,1.089278393
"2016","216",1.27867389204,33.8021500749,"3","854",33.701846529,1.289278393,33.901846529,1.089278393
"2016","225",1.17030628246,33.7175053656,"3","854",33.701846529,1.289278393,33.901846529,1.089278393
"2000","3403",1.07601774137,33.8558276138,"1","855",33.701846529,1.089278393,33.901846529,0.889278393
"2011","327",1.007753,33.853513,"3","855",33.701846529,1.089278393,33.901846529,0.889278393
"2016","209",0.980852801882,33.7383727122,"3","855",33.701846529,1.089278393,33.901846529,0.889278393
"2016","218",1.00533754463,33.898235473,"3","855",33.701846529,1.089278393,33.901846529,0.889278393
"2000","2102",1.35889538672,33.9303432128,"4","884",33.901846529,1.489278393,34.101846529,1.289278393
"2006","155",1.337988,34.080264,"2","884",33.901846529,1.489278393,34.101846529,1.289278393
"2016","267",1.33127664553,34.0721669394,"4","884",33.901846529,1.489278393,34.101846529,1.289278393
"2016","271",1.40830514928,34.0704956794,"4","884",33.901846529,1.489278393,34.101846529,1.289278393
"2016","272",1.32670938712,33.9964245155,"4","884",33.901846529,1.489278393,34.101846529,1.289278393
"2016","303",1.35050326793,34.05142997,"4","884",33.901846529,1.489278393,34.101846529,1.289278393
"2000","3401",1.08955192005,33.9918204117,"1","885",33.901846529,1.289278393,34.101846529,1.089278393
"2006","157",1.119369,34.051127,"2","885",33.901846529,1.289278393,34.101846529,1.089278393
"2006","174",1.163863,33.941986,"3","885",33.901846529,1.289278393,34.101846529,1.089278393
"2011","351",1.261163,34.019736,"3","885",33.901846529,1.289278393,34.101846529,1.089278393
"2016","219",1.09679034076,34.0614213464,"3","885",33.901846529,1.289278393,34.101846529,1.089278393
"2016","268",1.22533716308,34.0873059121,"4","885",33.901846529,1.289278393,34.101846529,1.089278393
"2016","269",1.23807146704,33.9925705592,"4","885",33.901846529,1.289278393,34.101846529,1.089278393
"2006","177",0.954134,33.930513,"2","886",33.901846529,1.089278393,34.101846529,0.889278393
"2006","181",0.970683,34.073321,"3","886",33.901846529,1.089278393,34.101846529,0.889278393
"2011","331",1.06771,34.076859,"3","886",33.901846529,1.089278393,34.101846529,0.889278393
"2011","340",0.900754,33.940027,"3","886",33.901846529,1.089278393,34.101846529,0.889278393
"2016","203",0.914642959987,34.0041557118,"3","886",33.901846529,1.089278393,34.101846529,0.889278393
"2016","204",0.92969728003,34.0123877827,"4","886",33.901846529,1.089278393,34.101846529,0.889278393
"2016","217",1.08780304912,33.9199270671,"3","886",33.901846529,1.089278393,34.101846529,0.889278393
"2016","224",0.908599253747,33.9655002122,"3","886",33.901846529,1.089278393,34.101846529,0.889278393
"2016","270",1.35964528608,34.1684324209,"4","915",34.101846529,1.489278393,34.301846529,1.289278393
"2000","2101",1.22546324838,34.1131374642,"4","916",34.101846529,1.289278393,34.301846529,1.089278393
"2000","2602",1.10160921678,34.1922128361,"4","916",34.101846529,1.289278393,34.301846529,1.089278393
"2000","2605",1.09870276462,34.2267453763,"4","916",34.101846529,1.289278393,34.301846529,1.089278393
"2000","2607",1.15572826779,34.2918110504,"4","916",34.101846529,1.289278393,34.301846529,1.089278393
"2000","2610",1.13395522861,34.1624290472,"4","916",34.101846529,1.289278393,34.301846529,1.089278393
"2006","186",1.215379,34.246321,"3","916",34.101846529,1.289278393,34.301846529,1.089278393
"2011","332",1.144695,34.282622,"3","916",34.101846529,1.289278393,34.301846529,1.089278393
"2011","335",1.138277,34.268296,"3","916",34.101846529,1.289278393,34.301846529,1.089278393
"2011","335",1.138277,34.268296,"2","916",34.101846529,1.289278393,34.301846529,1.089278393
"2011","353",1.251357,34.17136,"3","916",34.101846529,1.289278393,34.301846529,1.089278393
"2016","210",1.16147473019,34.1084600285,"3","916",34.101846529,1.289278393,34.301846529,1.089278393
"2016","226",1.09283640142,34.2767429715,"4","916",34.101846529,1.289278393,34.301846529,1.089278393
"2016","233",1.10129264687,34.1407290934,"3","916",34.101846529,1.289278393,34.301846529,1.089278393
"2016","234",1.16275393672,34.1957896769,"3","916",34.101846529,1.289278393,34.301846529,1.089278393
"2016","247",1.27301353178,34.2810608569,"3","916",34.101846529,1.289278393,34.301846529,1.089278393
"2016","250",1.17213459255,34.2813496814,"3","916",34.101846529,1.289278393,34.301846529,1.089278393
"2016","260",1.12075602442,34.168186134,"3","916",34.101846529,1.289278393,34.301846529,1.089278393
"2016","265",1.26430095173,34.2375200863,"3","916",34.101846529,1.289278393,34.301846529,1.089278393
"2000","2603",1.06390799272,34.2038229551,"4","917",34.101846529,1.089278393,34.301846529,0.889278393
"2000","2608",1.02667558736,34.1867556709,"4","917",34.101846529,1.089278393,34.301846529,0.889278393
"2000","2609",1.05180864205,34.1917844177,"4","917",34.101846529,1.089278393,34.301846529,0.889278393
"2006","149",1.072979,34.173998,"2","917",34.101846529,1.089278393,34.301846529,0.889278393
"2006","159",0.929605,34.282007,"2","917",34.101846529,1.089278393,34.301846529,0.889278393
"2006","170",1.06354,34.210065,"3","917",34.101846529,1.089278393,34.301846529,0.889278393
"2006","171",0.975754,34.256064,"3","917",34.101846529,1.089278393,34.301846529,0.889278393
"2006","171",0.975754,34.256064,"2","917",34.101846529,1.089278393,34.301846529,0.889278393
"2011","309",1.08188,34.152051,"3","917",34.101846529,1.089278393,34.301846529,0.889278393
"2011","310",1.077355,34.213475,"3","917",34.101846529,1.089278393,34.301846529,0.889278393
"2011","317",1.029352,34.220413,"2","917",34.101846529,1.089278393,34.301846529,0.889278393
"2011","319",0.980725,34.162559,"2","917",34.101846529,1.089278393,34.301846529,0.889278393
"2016","227",1.04621088835,34.1756276146,"3","917",34.101846529,1.089278393,34.301846529,0.889278393
"2016","228",0.95644003067,34.2303272331,"4","917",34.101846529,1.089278393,34.301846529,0.889278393
"2016","229",0.910679845102,34.1982252559,"4","917",34.101846529,1.089278393,34.301846529,0.889278393
"2016","230",1.01614360976,34.1558206804,"3","917",34.101846529,1.089278393,34.301846529,0.889278393
"2016","230",1.01614360976,34.1558206804,"4","917",34.101846529,1.089278393,34.301846529,0.889278393
"2016","231",1.05396541899,34.1887838866,"3","917",34.101846529,1.089278393,34.301846529,0.889278393
"2016","231",1.05396541899,34.1887838866,"4","917",34.101846529,1.089278393,34.301846529,0.889278393
"2016","232",0.913040229776,34.1850757915,"4","917",34.101846529,1.089278393,34.301846529,0.889278393
"2016","239",0.923687976676,34.2495566457,"4","917",34.101846529,1.089278393,34.301846529,0.889278393
"2016","261",1.08240555309,34.1569226721,"3","917",34.101846529,1.089278393,34.301846529,0.889278393
"2016","261",1.08240555309,34.1569226721,"4","917",34.101846529,1.089278393,34.301846529,0.889278393
"2016","262",1.0817926341,34.1792160604,"3","917",34.101846529,1.089278393,34.301846529,0.889278393
"2016","263",1.06026146727,34.1939973909,"3","917",34.101846529,1.089278393,34.301846529,0.889278393
"2016","264",0.938263150954,34.2722068525,"4","917",34.101846529,1.089278393,34.301846529,0.889278393
"2006","202",2.500107,33.078072,"2","723",32.901846529,2.689278393,33.101846529,2.489278393
"2006","362",2.470803,32.971439,"2","724",32.901846529,2.489278393,33.101846529,2.289278393
"2011","431",2.410778,32.974363,"4","724",32.901846529,2.489278393,33.101846529,2.289278393
"2016","346",2.42289737864,33.0157930542,"3","724",32.901846529,2.489278393,33.101846529,2.289278393
"2016","353",2.29699951081,32.9349550427,"2","724",32.901846529,2.489278393,33.101846529,2.289278393
"2016","354",2.37086414153,32.9568315116,"3","724",32.901846529,2.489278393,33.101846529,2.289278393
"2000","2202",2.22562517271,32.9042291862,"4","725",32.901846529,2.289278393,33.101846529,2.089278393
"2000","2204",2.28461048311,32.9643599026,"4","725",32.901846529,2.289278393,33.101846529,2.089278393
"2006","361",2.235462,33.02638,"2","725",32.901846529,2.289278393,33.101846529,2.089278393
"2011","426",2.271383,32.921807,"4","725",32.901846529,2.289278393,33.101846529,2.089278393
"2016","348",2.23725621861,32.9584265501,"3","725",32.901846529,2.289278393,33.101846529,2.089278393
"2016","349",2.13974680109,33.0911678445,"2","725",32.901846529,2.289278393,33.101846529,2.089278393
"2016","349",2.13974680109,33.0911678445,"3","725",32.901846529,2.289278393,33.101846529,2.089278393
"2016","352",2.2859432643,32.9907198154,"2","725",32.901846529,2.289278393,33.101846529,2.089278393
"2016","381",2.23468596692,32.9110229682,"3","725",32.901846529,2.289278393,33.101846529,2.089278393
"2016","350",2.03854745103,33.008811926,"3","726",32.901846529,2.089278393,33.101846529,1.889278393
"2016","375",1.96955768835,33.0721263392,"2","726",32.901846529,2.089278393,33.101846529,1.889278393
"2006","360",2.642756,33.278196,"3","754",33.101846529,2.689278393,33.301846529,2.489278393
"2006","360",2.642756,33.278196,"2","754",33.101846529,2.689278393,33.301846529,2.489278393
"2011","440",2.506166,33.277624,"4","754",33.101846529,2.689278393,33.301846529,2.489278393
"2016","341",2.56476506171,33.2285137193,"3","754",33.101846529,2.689278393,33.301846529,2.489278393
"2011","437",2.363743,33.216649,"4","755",33.101846529,2.489278393,33.301846529,2.289278393
"2016","343",2.37964584412,33.262308262,"3","755",33.101846529,2.489278393,33.301846529,2.289278393
"2016","344",2.4032780028,33.1102405267,"3","755",33.101846529,2.489278393,33.301846529,2.289278393
"2016","345",2.36918253597,33.2349317938,"3","755",33.101846529,2.489278393,33.301846529,2.289278393
"2000","2208",2.16978730443,33.2424902968,"4","756",33.101846529,2.289278393,33.301846529,2.089278393
"2006","363",2.247988,33.23267,"2","756",33.101846529,2.289278393,33.301846529,2.089278393
